saturation,noise,avg_radius,escaped,final_dist
0.5,0.0,0.3085279755896721,False,0.45506334678275095
0.5,0.0025,0.5857041291492397,False,0.3315061498950335
0.5,0.005,0.6678160401575559,False,0.812542742722178
0.5,0.01,0.6933578900604399,False,0.8849379501915065
1.0,0.0,0.19411353862177058,False,0.10761702060607092
1.0,0.0025,0.29619598485157067,False,0.10098021126116388
1.0,0.005,0.3791264946720101,False,0.11756164519863195
1.0,0.01,0.45624321735117845,False,0.08526730009743146
5.0,0.0,0.05483508885114368,False,0.04425298792627075
5.0,0.0025,0.07924575413150071,False,0.04554541675580747
5.0,0.005,0.0810479492533185,False,0.04552705389826608
5.0,0.01,0.09713241832206253,False,0.031675943511380644
10.0,0.0,0.055617828812022554,False,0.05048067233028064
10.0,0.0025,0.059371607736319325,False,0.050040727236808066
10.0,0.005,0.060251629315558865,False,0.048844137353898726
10.0,0.01,0.07743000619613417,False,0.05543399298333394
