step,phi_center_abs
0,0.21042220014943924
1,0.4147154297921479
2,0.6141543759702709
3,0.8094591580264896
4,1.0010559039067526
5,1.189279560122099
6,1.3742839145641796
7,1.556237987307255
8,1.7352666318200298
9,1.9114836819908734
10,2.084983805463109
11,2.25584502262217
12,2.4241461076604436
13,2.5899611407037937
14,2.753362404200695
15,2.914305561955432
16,3.0729866527526206
17,3.22947989430642
18,3.3837848568853772
19,3.5359804712687875
20,3.686151957962276
21,3.834381943573201
22,3.9807634596911416
23,4.125210764263868
24,4.268064590000179
25,4.409461451663056
26,4.549557944765783
27,4.688534797811133
28,4.82660178403145
29,4.964004091117852
30,5.101029811704013
31,5.238019633775139
32,5.375379423222415
33,5.513595953375772
34,5.653256659230439
35,5.7950745176299066
36,5.939920268688759
37,6.088863873816016
38,6.243228367910312
39,6.404661010595653
40,6.575228110918266
41,6.757542807437569
42,6.9549399518207835
43,7.171719438799765
44,7.413491298323389
45,7.68767578018935
46,8.004245815352302
47,8.376861818327018
48,8.824663221131082
49,9.375024365608663
50,10.067553778715036
51,10.959990250393822
52,12.11597621828002
53,13.620004716136863
54,15.58319681776745
55,18.15184772045785
56,21.518688071044483
57,25.937829485176387
58,31.744769796500638
59,39.38339069564095
60,49.442777147340614
61,62.70840206601153
62,80.2355247228641
63,103.45147695981237
64,134.26090141792608
65,175.2141432760962
66,229.73170462274192
67,302.39960980634595
68,399.35562021344896
69,528.8048550250304
70,670.7446654100996
71,810.5163525129716
72,948.1641114891323
73,1083.735807255817
74,1217.2743892453364
75,1348.8133186870612
76,1478.3830158888788
77,1606.013691506986
78,1731.7354665845346
79,1855.5772601292476
80,1977.5671785884167
81,2097.732909469918
82,2216.1017271819355
83,2332.700499319318
84,2447.5556922744463
85,2560.693376953713
86,2672.1392346144444
87,2781.9185625963755
88,2890.0562800350253
89,2996.576933491413
90,3101.50470251377
91,3204.8634051247964
92,3306.6765032267417
93,3406.9671079256386
94,3505.757984775961
95,3603.071558946868
96,3698.92992031121
97,3793.3548284584444
98,3886.3677176326087
99,3977.9897015964725
100,4068.241578422971
101,4157.143835215012
102,4244.716652754717
103,4330.979910083167
104,4415.953189011673
105,4499.655778565614
106,4582.106679361833
107,4663.324607920596
108,4743.328000913085
109,4822.1350193454
110,4899.763552680001
111,4976.2312228955425
112,5051.555388486009
113,5125.753148400071
114,5198.84134592154
115,5270.836572491817
116,5341.755171475194
117,5411.613241867868
118,5480.426641951494
119,5548.2109928921345
120,5614.981682285394
121,5680.753867648553
122,5745.542479860501
123,5809.362226550238
124,5872.22759543472
125,5934.1528576068
126,5995.152070774023
127,6055.239082448987
128,6114.427533092018
129,6172.730859206863
130,6230.162296390092
131,6286.73488233492
132,6342.461459790119
133,6397.354679474691
134,6451.427002948969
135,6504.690705442793
136,6557.157878641406
137,6608.840433429696
138,6659.750102595419
139,6709.898443491996
140,6759.29684066151
141,6807.956508418487
142,6855.888493395045
143,6903.103677047994
144,6949.612778128454
145,6995.426355114551
146,7040.554808607747
147,7085.008383693334
148,7128.7971722656475
149,7171.931115318514
150,7214.42000520145
151,7256.273487842142
152,7297.501064935681
153,7338.112096101088
154,7378.1158010055815
155,7417.521261457089
156,7456.337423465485
157,7494.573099272998
158,7532.236969354272
159,7569.337584386522
160,7605.883367190229
161,7641.882614640832
162,7677.343499551826
163,7712.274072529722
164,7746.6822638012545
165,7780.57588501329
166,7813.962631005809
167,7846.850081558396
168,7879.245703110601
169,7911.156850456601
170,7942.590768414503
171,7973.554593470707
172,8004.0553553996715
173,8034.099978859474
174,8063.6952849635045
175,8092.847992828673
176,8121.564721100456
177,8149.851989455156
178,8177.716220079691
179,8205.163739129262
180,8232.200778163233
181,8258.83347555953
182,8285.06787790791
183,8310.909941382382
184,8336.365533093129
185,8361.44043241819
186,8386.140332315264
187,8410.47084061387
188,8434.437481288209
189,8458.045695710993
190,8481.300843888515
191,8504.208205677267
192,8526.77298198236
193,8549.000295938029
194,8570.895194070494
195,8592.462647443414
196,8613.707552786247
197,8634.63473360571
198,8655.248941280637
199,8675.554856140467
200,8695.5570885276
201,8715.260179843874
202,8734.668603581396
203,8753.786766337957
204,8772.619008817273
205,8791.169606814266
206,8809.442772185605
207,8827.442653805749
208,8845.173338508695
209,8862.63885201564
210,8879.843159848768
211,8896.79016823139
212,8913.483724974614
213,8929.927620350758
214,8946.125587953708
215,8962.081305546411
216,8977.798395895701
217,8993.28042759463
218,9008.530915872516
219,9023.553323392882
220,9038.351061039455
221,9052.927488690404
222,9067.285915981034
223,9081.429603055045
224,9095.361761304568
225,9109.085554099149
226,9122.60409750381
227,9135.920460986397
228,9149.037668114332
229,9161.958697240958
230,9174.686482181627
231,9187.223912879668
232,9199.573836062398
233,9211.739055887336
234,9223.722334578742
235,9235.526393054644
236,9247.153911544494
237,9258.607530197578
238,9269.88984968234
239,9281.00343177674
240,9291.95079994978
241,9302.734439934346
242,9313.35680029148
243,9323.820292966211
244,9334.127293835081
245,9344.28014324547
246,9354.281146546891
247,9364.132574614297
248,9373.8366643636
249,9383.395619259454
250,9392.811609815471
251,9402.08677408694
252,9411.223218156176
253,9420.223016610635
254,9429.088213013854
255,9437.820820369367
256,9446.422821577671
257,9454.896169886371
258,9463.24278933359
259,9471.46457518474
260,9479.563394362785
261,9487.541085872048
262,9495.399461215686
263,9503.140304806928
264,9510.76537437417
265,9518.276401359999
266,9525.67509131425
267,9532.9631242812
268,9540.142155180969
269,9547.213814185207
270,9554.17970708717
271,9561.04141566627
272,9567.800498047158
273,9574.45848905345
274,9581.016900556166
275,9587.477221816947
276,9593.840919826152
277,9600.109439635893
278,9606.284204688081
279,9612.3666171376
280,9618.358058170605
281,9624.259888318085
282,9630.07344776475
283,9635.800056653263
284,9641.441015383954
285,9646.997604910044
286,9652.471087028442
287,9657.862704666211
288,9663.17368216275
289,9668.405225547736
290,9673.558522814936
291,9678.634744191902
292,9683.635042405658
293,9688.56055294439
294,9693.412394315234
295,9698.191668298216
296,9702.899460196379
297,9707.536839082188
298,9712.10485804023
299,9716.604554406304
300,9721.036950002926
301,9725.40312528325
302,9729.704069350448
303,9733.940756537755
304,9738.114146628965
305,9742.22518507562
306,9746.274803210987
307,9750.263918460803
308,9754.193434550913
309,9758.064241711776
310,9761.87721687995
311,9765.633223896542
312,9769.333113702714
313,9772.977724532266
314,9776.567882101343
315,9780.104399795318
316,9783.588078852876
317,9787.019708547354
318,9790.400066365377
319,9793.72991818283
320,9797.010018438194
321,9800.241110303308
322,9803.423925851575
323,9806.559186223652
324,9809.647601790677
325,9812.689872315055
326,9815.686687108855
327,9818.638725189816
328,9821.546655435057
329,9824.411136732468
330,9827.232818129856
331,9830.012338981856
332,9832.75032909466
333,9835.447408868571
334,9838.104189438442
335,9840.721272812012
336,9843.29925200618
337,9845.838711181246
338,9848.340225773149
339,9850.804362623714
340,9853.231680108987
341,9855.622728265633
342,9857.978048915444
343,9860.298175788
344,9862.583634641502
345,9864.834943381778
346,9867.052612179552
347,9869.237143585915
348,9871.389032646113
349,9873.508767011614
350,9875.596827050513
351,9877.653685956284
352,9879.679809854902
353,9881.675657910382
354,9883.641682428728
355,9885.578328960337
356,9887.48603640088
357,9889.365237090658
358,9891.2163569125
359,9893.039815388178
360,9894.836025773395
361,9896.605395151355
362,9898.348324524928
363,9900.065208907443
364,9901.756437412132
365,9903.422393340234
366,9905.063454267773
367,9906.679992131065
368,9908.272373310921
369,9909.84095871562
370,9911.386103862618
371,9912.908158959053
372,9914.407468981044
373,9915.884373751807
374,9917.339208018604
375,9918.772301528541
376,9920.18397910324
377,9921.57456071239
378,9922.944361546204
379,9924.293692086794
380,9925.622858178478
381,9926.932161097036
382,9928.221897617948
383,9929.49236008358
384,9930.7438364694
385,9931.976610449197
386,9933.190961459308
387,9934.387164761907
388,9935.56549150735
389,9936.726208795566
390,9937.869579736556
391,9938.995863509977
392,9940.105315423843
393,9941.198186972339
394,9942.27472589278
395,9943.33517622172
396,9944.379778350227
397,9945.40876907831
398,9946.422381668566
399,9947.420845899003
400,9948.404388115085
401,9949.373231280993
402,9950.327595030125
403,9951.267695714845
404,9952.19374645548
405,9953.105957188593
406,9954.004534714535
407,9954.889682744284
408,9955.76160194558
409,9956.620489988385
410,9957.466541589652
411,9958.299948557433
412,9959.120899834315
413,9959.929581540233
414,9960.72617701461
415,9961.510866857905
416,9962.283828972506
417,9963.045238603034
418,9963.795268376043
419,9964.534088339116
420,9965.26186599939
421,9965.978766361495
422,9966.684951964937
423,9967.380582920916
424,9968.065816948592
425,9968.74080941082
426,9969.405713349337
427,9970.060679519438
428,9970.705856424127
429,9971.341390347752
430,9971.967425389146
431,9972.58410349428
432,9973.19156448841
433,9973.789946107754
434,9974.379384030706
435,9974.960011908559
436,9975.531961395789
437,9976.095362179893
438,9976.650342010747
439,9977.197026729573
440,9977.735540297432
441,9978.266004823314
442,9978.788540591802
443,9979.30326609033
444,9979.810298036015
445,9980.309751402114
446,9980.801739444063
447,9981.286373725145
448,9981.76376414176
449,9982.234018948333
450,9982.697244781828
451,9983.153546685926
452,9983.60302813481
453,9984.045791056624
454,9984.481935856553
455,9984.911561439581
456,9985.334765232908
457,9985.751643208012
458,9986.162215990464
459,9986.566579090488
460,9986.964826569116
461,9987.35705106021
462,9987.743343792163
463,9988.123794609255
464,9988.498491992697
465,9988.867523081342
466,9989.230973692094
467,9989.588928339994
468,9989.941470258005
469,9990.288681416501
470,9990.630642542446
471,9990.967433138298
472,9991.299131500607
473,9991.625814738354
474,9991.947558790976
475,9992.264438446155
476,9992.576527357303
477,9992.883898060805
478,9993.186621992987
479,9993.484769506831
480,9993.778409888428
481,9994.06761137319
482,9994.35244116181
483,9994.632965435982
484,9994.909249373877
485,9995.18135716539
486,9995.449352027146
487,9995.71329621729
488,9995.973251050033
489,9996.229276910006
490,9996.481433266365
491,9996.729778686695
492,9996.974370850712
493,9997.215266563733
494,9997.452521769967
495,9997.686191565579
496,9997.916330211581
497,9998.1429911465
498,9998.366226998876
499,9998.58608959956
500,9998.802629993816
501,9999.015898453263
502,9999.225944487613
503,9999.43281685623
504,9999.636563579537
505,9999.837231950227
506,10000.034868544306
507,10000.22951923198
508,10000.42122918836
509,10000.610042904027
510,10000.796004195407
511,10000.97915621501
512,10001.15954146151
513,10001.337201789665
514,10001.512178420093
515,10001.684511948888
516,10001.854242357105
517,10002.021409020099
518,10002.1860507167
519,10002.348205638285
520,10002.507911397675
521,10002.665205037925
522,10002.820123040967
523,10002.972701336119
524,10003.12297530848
525,10003.270979807177
526,10003.4167491535
527,10003.560317148913
528,10003.701717082939
529,10003.84098174092
530,10003.978143411678
531,10004.113233895036
532,10004.24622037343
533,10004.377135773288
534,10004.506012503209
535,10004.632882462152
536,10004.75777704749
537,10004.88072716293
538,10005.001763226324
539,10005.12091517734
540,10005.238212485017
541,10005.353684155209
542,10005.467358737882
543,10005.579264334341
544,10005.689428604295
545,10005.79787877284
546,10005.90464163733
547,10006.00974357411
548,10006.113210545189
549,10006.215068104764
550,10006.315341405661
551,10006.414055205682
552,10006.51123387382
553,10006.606901396415
554,10006.701081383182
555,10006.793797073158
556,10006.88507134055
557,10006.974926700488
558,10007.0633853147
559,10006.950468997074
560,10006.839430861604
561,10006.730239743672
562,10006.622864994733
563,10006.51727647378
564,10006.413444538957
565,10006.311340039309
566,10006.210934306657
567,10006.112199147627
568,10006.015106835786
569,10005.919630103937
570,10005.825742136514
571,10005.73341656212
572,10005.642627446176
573,10005.553349283706
574,10005.465556992229
575,10005.379225904773
576,10005.294331763002
577,10005.210850710455
578,10005.128759285912
579,10005.048034416845
580,10004.968653412992
581,10004.890593960043
582,10004.813834113414
583,10004.73835229213
584,10004.664127272816
585,10004.59113818378
586,10004.519364499196
587,10004.448786033385
588,10004.379382935183
589,10004.311135682414
590,10004.244025076441
591,10004.17803223682
592,10004.11313859603
593,10004.049325894304
594,10003.986576174522
595,10003.924871777226
596,10003.864195335676
597,10003.804529771018
598,10003.745858287512
599,10003.688164367855
600,10003.631431768572
601,10003.57564451548
602,10003.52078689924
603,10003.466843470966
604,10003.41379903792
605,10003.361638659275
606,10003.310347641938
607,10003.259911536457
608,10003.210316132987
609,10003.161547457323
610,10003.113591767
611,10003.06643554746
612,10003.020065508275
613,10002.974468579443
614,10002.929631907731
615,10002.8855428531
616,10002.84218898516
617,10002.799558079712
618,10002.757638115325
619,10002.71641726999
620,10002.675883917806
621,10002.63602662574
622,10002.59683415044
623,10002.55829543508
624,10002.520399606283
625,10002.48313597108
626,10002.446494013922
627,10002.410463393742
628,10002.375033941067
629,10002.340195655173
630,10002.305938701298
631,10002.272253407886
632,10002.239130263888
633,10002.206559916103
634,10002.17453316656
635,10002.143040969957
636,10002.11207443112
637,10002.081624802524
638,10002.051683481845
639,10002.022242009558
640,10001.993292066565
641,10001.964825471874
642,10001.936834180313
643,10001.909310280273
644,10001.882245991497
645,10001.855633662912
646,10001.829465770477
647,10001.803734915087
648,10001.7784338205
649,10001.753555331297
650,10001.72909241089
651,10001.70503813954
652,10001.681385712434
653,10001.658128437773
654,10001.635259734896
655,10001.612773132447
656,10001.590662266557
657,10001.568920879066
658,10001.547542815772
659,10001.526522024698
660,10001.50585255441
661,10001.485528552346
662,10001.465544263177
663,10001.445894027192
664,10001.42657227872
665,10001.407573544566
666,10001.388892442475
667,10001.370523679632
668,10001.352462051176
669,10001.33470243874
670,10001.317239809016
671,10001.30006921235
672,10001.28318578135
673,10001.266584729527
674,10001.250261349944
675,10001.234211013909
676,10001.218429169669
677,10001.202911341135
678,10001.187653126632
679,10001.172650197657
680,10001.157898297675
681,10001.143393240915
682,10001.129130911206
683,10001.115107260814
684,10001.101249270665
685,10001.087555242737
686,10001.07402349069
687,10001.060652339935
688,10001.047440127692
689,10001.034385203046
690,10001.021485926989
691,10001.008740672482
692,10000.99614782448
693,10000.983705779983
694,10000.971412948053
695,10000.959267749851
696,10000.947268618665
697,10000.93541399992
698,10000.923702351198
699,10000.912132142255
700,10000.900701855022
701,10000.889409983618
702,10000.87825503435
703,10000.867235525708
704,10000.856349988364
705,10000.845596965168
706,10000.834975011128
707,10000.824482693408
708,10000.814118591305
709,10000.803881296233
710,10000.7937694117
711,10000.783781553288
712,10000.773916348624
713,10000.764172437353
714,10000.754548471106
715,10000.745043113471
716,10000.735655039958
717,10000.726382937952
718,10000.717225506687
719,10000.708181457205
720,10000.699249512303
721,10000.6904284065
722,10000.681716885985
723,10000.673113708575
724,10000.664617643657
725,10000.65622747215
726,10000.64794198644
727,10000.639759990347
728,10000.631680299044
729,10000.623701739025
730,10000.615823148037
731,10000.608043375023
732,10000.600361280063
733,10000.592775734318
734,10000.585285619967
735,10000.577889830147
736,10000.570587268883
737,10000.563376851036
738,10000.556257502229
739,10000.549228158785
740,10000.542287767666
741,10000.535435286403
742,10000.528669683023
743,10000.521989935993
744,10000.515395034141
745,10000.508883976598
746,10000.50245577272
747,10000.496109442023
748,10000.489844014111
749,10000.483658528607
750,10000.477552035078
751,10000.47152359297
752,10000.46557227154
753,10000.459697149765
754,10000.453897316294
755,10000.448171869364
756,10000.442519916725
757,10000.436940575575
758,10000.431432972482
759,10000.425996243315
760,10000.42062953317
761,10000.415331996293
762,10000.410102796015
763,10000.40494110467
764,10000.399846103533
765,10000.394816982734
766,10000.389852941196
767,10000.384953186558
768,10000.380116935099
769,10000.375343411672
770,10000.370631849622
771,10000.365981490728
772,10000.361391585111
773,10000.356861391183
774,10000.352390175558
775,10000.347977212985
776,10000.343621786285
777,10000.339323186265
778,10000.335080711657
779,10000.330893669043
780,10000.326761372784
781,10000.32268314495
782,10000.318658315253
783,10000.314686220967
784,10000.310766206872
785,10000.306897625172
786,10000.303079835432
787,10000.29931220451
788,10000.295594106485
789,10000.291924922587
790,10000.288304041134
791,10000.284730857464
792,10000.281204773864
793,10000.277725199505
794,10000.274291550375
795,10000.270903249211
796,10000.267559725437
797,10000.264260415097
798,10000.261004760787
799,10000.257792211596
800,10000.254622223032
801,10000.251494256969
802,10000.248407781577
803,10000.245362271258
804,10000.24235720659
805,10000.239392074258
806,10000.236466366989
807,10000.233579583495
808,10000.230731228423
809,10000.227920812273
810,10000.22514785135
811,10000.222411867704
812,10000.219712389067
813,10000.217048948796
814,10000.214421085811
815,10000.211828344542
816,10000.209270274869
817,10000.20674643206
818,10000.204256376728
819,10000.201799674756
820,10000.19937589725
821,10000.196984620485
822,10000.194625425853
823,10000.192297899795
824,10000.190001633762
825,10000.187736224147
826,10000.185501272243
827,10000.183296384188
828,10000.181121170903
829,10000.178975248053
830,10000.176858235985
831,10000.174769759684
832,10000.172709448718
833,10000.170676937189
834,10000.168671863681
835,10000.166693871215
836,10000.164742607194
837,10000.162812825447
838,10000.16090432189
839,10000.159016893731
840,10000.157150339475
841,10000.155304458935
842,10000.153479053233
843,10000.15167392481
844,10000.14988887742
845,10000.148123716152
846,10000.146378247417
847,10000.144652278961
848,10000.142945619868
849,10000.141258080555
850,10000.139589472788
851,10000.137939609675
852,10000.13630830566
853,10000.134695376546
854,10000.133100639476
855,10000.131523912942
856,10000.129965016788
857,10000.128423772201
858,10000.126900001724
859,10000.125393529243
860,10000.12390417999
861,10000.12243178055
862,10000.120976158849
863,10000.119537144152
864,10000.118114567074
865,10000.116708259566
866,10000.115318054915
867,10000.113943787746
868,10000.112585294011
869,10000.111242410998
870,10000.109914977316
871,10000.108602832901
872,10000.107305819003
873,10000.106023778195
874,10000.104756554354
875,10000.10350399267
876,10000.102265939633
877,10000.101042243037
878,10000.099832751966
879,10000.098637316793
880,10000.097455789179
881,10000.096288022067
882,10000.095133869669
883,10000.093993187471
884,10000.092865832225
885,10000.091751661934
886,10000.090650535862
887,10000.089562314519
888,10000.088486859653
889,10000.087424034253
890,10000.086373702532
891,10000.085335729933
892,10000.08430998311
893,10000.083296329936
894,10000.082294639482
895,10000.081304782017
896,10000.08032662901
897,10000.079360053105
898,10000.078404928132
899,10000.07746112909
900,10000.076528532145
901,10000.075607014618
902,10000.074696454982
903,10000.073796732857
904,10000.072907728998
905,10000.072029325293
906,10000.071161404749
907,10000.070303851493
908,10000.069456550762
909,10000.06861938889
910,10000.067792253309
911,10000.066975032538
912,10000.066167616176
913,10000.065369894895
914,10000.06458176043
915,10000.06380310558
916,10000.063033824188
917,10000.062273811143
918,10000.061522962375
919,10000.06078117483
920,10000.060048346488
921,10000.059324376338
922,10000.058609164376
923,10000.057902611594
924,10000.057204619978
925,10000.056515092498
926,10000.055833933098
927,10000.055161046696
928,10000.054496339166
929,10000.053839717342
930,10000.053191089004
931,10000.052550362865
932,10000.051917448576
933,10000.051292256714
934,10000.05067469877
935,10000.050064687146
936,10000.049462135146
937,10000.048866956971
938,10000.048279067707
939,10000.047698383325
940,10000.047124813278
941,10000.046558266089
942,10000.045998651567
943,10000.045445880802
944,10000.044899866125
945,10000.044360521106
946,10000.04382776052
947,10000.04330150034
948,10000.042781657705
949,10000.042268150915
950,10000.041760899403
951,10000.041259823722
952,10000.040764845528
953,10000.040275887557
954,10000.039792873613
955,10000.03931572855
956,10000.038844378258
957,10000.03837874964
958,10000.037918770604
959,10000.037464370043
960,10000.037015477825
961,10000.036572024768
962,10000.036133942636
963,10000.035701164119
964,10000.035273622818
965,10000.034851253235
966,10000.034433990755
967,10000.034021771635
968,10000.033614532991
969,10000.033212212784
970,10000.032814749808
971,10000.032422083674
972,10000.032034154807
973,10000.031650904419
974,10000.031272274511
975,10000.030898207857
976,10000.030528647987
977,10000.03016353918
978,10000.029802826459
979,10000.029446455565
980,10000.02909437296
981,10000.028746525808
982,10000.028402861975
983,10000.028063330003
984,10000.027727879115
985,10000.027396459196
986,10000.027069020789
987,10000.026745515079
988,10000.026425893886
989,10000.026110109662
990,10000.025798115474
991,10000.025489864996
992,10000.025185312506
993,10000.02488441287
994,10000.024587121537
995,10000.024293394536
996,10000.024003188455
997,10000.023716460442
998,10000.023433168199
999,10000.023153269965
