y,x,phi
0,0,10000.214782088176
0,20,10000.000010700332
0,40,10006.642420998827
0,60,10000.000000413707
0,80,9999.999999998226
0,100,9999.999999996373
0,120,10000.000000000704
20,0,10000.0000128644
20,20,10000.000001973085
20,40,9999.999999995815
20,60,9999.999999995978
20,80,9999.999999997128
20,100,10000.000005598551
20,120,10000.000000043558
40,0,10006.19600990384
40,20,10000.000000503089
40,40,9999.999999996822
40,60,9999.999999996098
40,80,9999.999999996538
40,100,9999.999999997754
40,120,10006.202258102838
60,0,9999.999999996475
60,20,9999.999999997517
60,40,10000.116347492058
60,60,10000.000000007907
60,80,9999.999999996457
60,100,9999.999999996593
60,120,9999.999999996737
80,0,10000.000000009064
80,20,9999.99999999531
80,40,9999.999999997033
80,60,9999.999999997664
80,80,9999.999999995978
80,100,9999.999999995925
80,120,9999.99999999876
100,0,10000.000414238391
100,20,9999.999999996617
100,40,10000.000000065918
100,60,9999.999999997179
100,80,9999.999999995976
100,100,10000.00000045578
100,120,9999.999999996495
120,0,10000.003016553168
120,20,10000.000000012198
120,40,10000.000000030015
120,60,10000.013282535241
120,80,9999.999999999753
120,100,9999.999999996435
120,120,9999.999999996178
